"Population and dwelling counts: Canada and census subdivisions (municipalities) 1"
"Frequency: Occasional"
"Table: 98-10-0002-01"
"Release date: 2022-02-09"
"Geography: Canada, Province or territory, Census division, Census subdivision"
"Universe: All persons, 2021 and 2016 censuses – 100% data"
"Variable List: Population and dwelling counts (13)"

,,"Population and dwelling counts (13)","Population, 2021","Population, 2016","Population percentage change, 2016 to 2021","Total private dwellings, 2021","Total private dwellings, 2016","Total private dwellings percentage change, 2016 to 2021","Private dwellings occupied by usual residents, 2021","Private dwellings occupied by usual residents, 2016","Private dwellings occupied by usual residents percentage change, 2016 to 2021","Land area in square kilometres, 2021","Population density per square kilometre, 2021","National population rank, 2021","Province/territory population rank, 2021"
"Geographic name","Geographic area type abbreviation","Province or territory abbreviation"
"Canada 2","Country","...","36,991,981","35,151,728","5.2","16,284,235","15,412,443","5.7","14,978,941","14,072,079","6.4","8,788,702.80","4.2","...","..."
"Admirals Beach","T","N.L.","97","135","-28.1","76","80","-5.0","48","62","-22.6","24.20","4.0","4,267","325"
"Aquaforte","T","N.L.","74","80","-7.5","63","71","-11.3","43","41","4.9","6.88","10.7","4,387","339"
"Arnold's Cove","T","N.L.","964","949","1.6","547","537","1.9","434","392","10.7","5.25","183.8","2,155","79"
"Avondale","T","N.L.","584","641","-8.9","346","373","-7.2","286","294","-2.7","29.69","19.7","2,741","130"
"Bauline","T","N.L.","412","452","-8.8","172","174","-1.1","161","163","-1.2","16.05","25.7","3,140","178"
"Bay Bulls","T","N.L.","1,566","1,500","4.4","631","589","7.1","597","566","5.5","30.60","51.2","1,624","55"
"Bay Roberts","T","N.L.","5,974","6,012","-0.6","2,803","2,658","5.5","2,490","2,413","3.2","24.51","243.7","651","14"
"Bay de Verde","T","N.L.","347","392","-11.5","200","216","-7.4","157","173","-9.2","13.24","26.2","3,358","203"
"Bishop's Cove","T","N.L.","252","287","-12.2","147","147","0.0","115","125","-8.0","1.90","132.4","3,671","240"
"Branch","T","N.L.","177","228","-22.4","142","174","-18.4","96","108","-11.1","16.18","10.9","3,944","278"
"Brigus","T","N.L.","699","723","-3.3","506","446","13.5","327","317","3.2","11.48","60.9","2,527","107"
"Bryant's Cove","T","N.L.","343","395","-13.2","149","162","-8.0","142","148","-4.1","4.90","70.0","3,370","206"
"Cape Broyle","T","N.L.","499","489","2.0","314","291","7.9","228","211","8.1","10.09","49.5","2,944","160"
"Carbonear","T","N.L.","4,696","4,858","-3.3","2,289","2,166","5.7","2,094","1,982","5.7","12.44","377.4","769","17"
"Chance Cove","T","N.L.","213","256","-16.8","129","150","-14.0","111","123","-9.8","18.14","11.7","3,819","257"
"Chapel Arm","T","N.L.","446","457","-2.4","241","244","-1.2","204","192","6.3","28.08","15.9","3,056","166"
"Clarke's Beach","T","N.L.","1,400","1,558","-10.1","678","642","5.6","599","555","7.9","12.64","110.7","1,742","61"
"Colinet","T","N.L.","103","80","28.8","81","73","11.0","54","39","38.5","6.01","17.1","4,239","317"
"Colliers","T","N.L.","613","654","-6.3","414","424","-2.4","269","277","-2.9","26.24","23.4","2,690","122"
"Come By Chance","T","N.L.","208","228","-8.8","108","125","-13.6","90","95","-5.3","39.55","5.3","3,844","259"
"Conception Bay South","T","N.L.","27,168","26,199","3.7","11,364","10,553","7.7","10,711","9,934","7.8","59.72","454.9","169","2"
"Conception Harbour","T","N.L.","624","685","-8.9","330","392","-15.8","280","298","-6.0","21.47","29.1","2,672","120"
"Cupids","T","N.L.","699","743","-5.9","428","364","17.6","325","311","4.5","10.86","64.4","2,527","107"
"Division No.  1, Subd. A 3","SNO","N.L.","653","666","-2.0","562","669","-16.0","324","320","1.3","772.38","0.8","2,611","116"
"Division No.  1, Subd. B","SNO","N.L.","356","360","-1.1","383","380","0.8","182","166","9.6","454.34","0.8","3,323","198"
"Division No.  1, Subd. C","SNO","N.L.","106","100","6.0","140","140","0.0","59","52","13.5","815.64","0.1","4,228","316"
"Division No.  1, Subd. D","SNO","N.L.","119","88","35.2","160","142","12.7","61","38","60.5","298.06","0.4","4,177","307"
"Division No.  1, Subd. E","SNO","N.L.","2,835","2,943","-3.7","1,576","1,575","0.1","1,256","1,229","2.2","218.85","13.0","1,090","25"
"Division No.  1, Subd. F","SNO","N.L.","539","548","-1.6","341","352","-3.1","243","240","1.3","173.02","3.1","2,852","148"
"Division No.  1, Subd. G","SNO","N.L.","1,673","1,866","-10.3","1,352","1,337","1.1","836","855","-2.2","302.69","5.5","1,551","49"
"Division No.  1, Subd. H","SNO","N.L.","328","390","-15.9","254","227","11.9","163","161","1.2","57.20","5.7","3,421","208"
"Division No.  1, Subd. I","SNO","N.L.","320","299","7.0","172","150","14.7","129","122","5.7","64.11","5.0","3,442","210"
"Division No.  1, Subd. J","SNO","N.L.","0","0","...","0","0","...","0","0","...","0.45","0.0","4,831","366"
"Division No.  1, Subd. K","SNO","N.L.","35","28","25.0","123","139","-11.5","14","11","27.3","37.13","0.9","4,577","359"
"Division No.  1, Subd. L","SNO","N.L.","874","928","-5.8","463","487","-4.9","372","382","-2.6","8.10","107.9","2,276","88"
"Division No.  1, Subd. M","SNO","N.L.","1,145","1,073","6.7","1,385","1,440","-3.8","528","461","14.5","139.98","8.2","1,951","73"
"Division No.  1, Subd. N","SNO","N.L.","356","372","-4.3","292","300","-2.7","167","157","6.4","12.85","27.7","3,323","198"
"Division No.  1, Subd. O","SNO","N.L.","829","663","25.0","1,090","1,170","-6.8","412","305","35.1","78.38","10.6","2,333","93"
"Division No.  1, Subd. R","SNO","N.L.","264","322","-18.0","193","188","2.7","144","165","-12.7","16.82","15.7","3,633","235"
"Division No.  1, Subd. U","SNO","N.L.","1,373","1,625","-15.5","1,320","1,630","-19.0","628","697","-9.9","742.38","1.8","1,762","62"
"Division No.  1, Subd. V","SNO","N.L.","55","36","52.8","72","140","-48.6","29","19","52.6","870.89","0.1","4,482","346"
"Division No.  1, Subd. W","SNO","N.L.","469","435","7.8","802","893","-10.2","243","214","13.6","821.97","0.6","3,011","164"
"Division No.  1, Subd. X","SNO","N.L.","541","513","5.5","738","754","-2.1","260","235","10.6","567.62","1.0","2,842","146"
"Division No.  1, Subd. Y","SNO","N.L.","1,211","1,118","8.3","951","857","11.0","534","473","12.9","190.76","6.3","1,882","68"
"Fermeuse","T","N.L.","266","325","-18.2","171","178","-3.9","126","134","-6.0","38.33","6.9","3,624","234"
"Ferryland","T","N.L.","371","414","-10.4","252","254","-0.8","191","190","0.5","13.22","28.1","3,277","193"
"Flatrock","T","N.L.","1,722","1,683","2.3","675","641","5.3","638","608","4.9","18.10","95.1","1,531","48"
"Fox Harbour","T","N.L.","226","252","-10.3","136","133","2.3","114","116","-1.7","19.81","11.4","3,764","253"
"Gaskiers-Point La Haye","T","N.L.","189","232","-18.5","128","145","-11.7","104","118","-11.9","23.29","8.1","3,892","267"
"Hant's Harbour","T","N.L.","318","329","-3.3","217","210","3.3","158","155","1.9","31.86","10.0","3,450","211"
"Harbour Grace","T","N.L.","2,796","2,995","-6.6","1,483","1,469","1.0","1,307","1,335","-2.1","33.71","82.9","1,099","26"
"Harbour Main-Chapel's Cove-Lakeview","T","N.L.","1,065","1,067","-0.2","530","509","4.1","467","436","7.1","21.19","50.3","2,035","78"
"Heart's Content","T","N.L.","330","340","-2.9","225","217","3.7","168","162","3.7","62.87","5.2","3,415","207"
"Heart's Delight-Islington","T","N.L.","646","674","-4.2","427","388","10.1","315","307","2.6","26.95","24.0","2,631","119"
"Heart's Desire","T","N.L.","184","213","-13.6","122","124","-1.6","88","96","-8.3","17.02","10.8","3,912","273"
"Holyrood","T","N.L.","2,471","2,463","0.3","1,089","1,106","-1.5","993","975","1.8","126.02","19.6","1,205","31"
"Logy Bay-Middle Cove-Outer Cove","T","N.L.","2,364","2,221","6.4","940","827","13.7","887","804","10.3","16.99","139.1","1,240","32"
"Long Harbour-Mount Arlington Heights 3","T","N.L.","185","250","-26.0","167","198","-15.7","97","117","-17.1","18.33","10.1","3,908","271"
"Mount Carmel-Mitchells Brook-St. Catherine's","T","N.L.","382","349","9.5","385","302","27.5","203","163","24.5","60.76","6.3","3,237","190"
"Mount Pearl 3","CY","N.L.","22,477","23,120","-2.8","10,685","10,381","2.9","9,931","9,673","2.7","15.65","1,436.2","199","4"
"New Perlican","T","N.L.","200","186","7.5","173","163","6.1","107","95","12.6","24.45","8.2","3,866","264"
"Norman's Cove-Long Cove","T","N.L.","647","666","-2.9","342","339","0.9","291","281","3.6","20.15","32.1","2,626","118"
"North River","T","N.L.","579","570","1.6","318","286","11.2","261","242","7.9","4.20","137.7","2,752","132"
"Old Perlican","T","N.L.","608","633","-3.9","316","288","9.7","253","238","6.3","14.14","43.0","2,700","123"
"Paradise","T","N.L.","22,957","21,389","7.3","9,331","8,662","7.7","8,813","8,038","9.6","29.67","773.8","196","3"
"Petty Harbour-Maddox Cove","T","N.L.","947","960","-1.4","408","394","3.6","381","371","2.7","4.40","215.3","2,182","82"
"Placentia","T","N.L.","3,289","3,496","-5.9","1,827","1,852","-1.3","1,543","1,559","-1.0","57.80","56.9","976","20"
"Point Lance","T","N.L.","87","102","-14.7","48","48","0.0","40","42","-4.8","28.29","3.1","4,317","330"
"Port Kirwan","T","N.L.","49","52","-5.8","53","64","-17.2","30","27","11.1","8.84","5.5","4,516","353"
"Portugal Cove South","T","N.L.","86","150","-42.7","85","91","-6.6","47","69","-31.9","1.08","79.9","4,321","332"
"Portugal Cove-St. Philip's","T","N.L.","8,415","8,147","3.3","3,357","3,215","4.4","3,170","3,028","4.7","57.61","146.1","490","8"
"Pouch Cove","T","N.L.","2,063","2,069","-0.3","872","868","0.5","823","818","0.6","58.24","35.4","1,355","39"
"Renews-Cappahayden","T","N.L.","280","301","-7.0","259","346","-25.1","143","148","-3.4","125.93","2.2","3,581","229"
"Riverhead","T","N.L.","165","185","-10.8","128","153","-16.3","87","83","4.8","101.84","1.6","3,991","287"
"Salmon Cove","T","N.L.","764","680","12.4","393","329","19.5","340","276","23.2","4.21","181.6","2,416","98"
"Small Point-Adam's Cove-Blackhead-Broad Cove","T","N.L.","414","387","7.0","327","308","6.2","200","171","17.0","23.12","17.9","3,128","175"
"South River","T","N.L.","674","647","4.2","351","335","4.8","297","286","3.8","5.97","113.0","2,577","113"
"Southern Harbour 3","T","N.L.","313","395","-20.8","209","213","-1.9","152","173","-12.1","5.39","58.1","3,465","215"
"Spaniard's Bay","T","N.L.","2,630","2,653","-0.9","1,247","1,180","5.7","1,112","1,089","2.1","66.09","39.8","1,149","29"
"St. Bride's","T","N.L.","318","252","26.2","204","169","20.7","166","128","29.7","5.38","59.1","3,450","211"
"St. John's","CY","N.L.","110,525","108,860","1.5","54,067","52,410","3.2","49,298","47,627","3.5","446.02","247.8","50","1"
"St. Joseph's","T","N.L.","86","115","-25.2","79","114","-30.7","45","58","-22.4","29.22","2.9","4,321","332"
"St. Mary's","T","N.L.","313","347","-9.8","202","216","-6.5","158","170","-7.1","36.41","8.6","3,465","215"
"St. Shott's","T","N.L.","55","66","-16.7","50","52","-3.8","34","38","-10.5","1.07","51.3","4,482","346"
"St. Vincent's-St. Stephen's-Peter's River","T","N.L.","263","313","-16.0","207","221","-6.3","142","156","-9.0","86.62","3.0","3,634","236"
"Sunnyside","T","N.L.","407","396","2.8","271","286","-5.2","189","176","7.4","39.02","10.4","3,161","180"
"Torbay","T","N.L.","7,852","7,899","-0.6","3,182","3,005","5.9","2,985","2,864","4.2","34.89","225.0","525","10"
"Trepassey","T","N.L.","405","481","-15.8","299","356","-16.0","224","245","-8.6","54.21","7.5","3,162","181"
"Upper Island Cove","T","N.L.","1,401","1,561","-10.2","669","685","-2.3","582","632","-7.9","7.82","179.2","1,740","60"
"Victoria","T","N.L.","1,658","1,800","-7.9","822","810","1.5","712","741","-3.9","17.96","92.3","1,562","50"
"Wabana","T","N.L.","1,815","2,146","-15.4","1,181","1,150","2.7","951","1,025","-7.2","14.49","125.3","1,466","46"
"Whitbourne","T","N.L.","955","890","7.3","584","527","10.8","419","376","11.4","21.51","44.4","2,171","80"
"Whiteway","T","N.L.","351","373","-5.9","174","165","5.5","136","135","0.7","22.53","15.6","3,339","201"
"Winterton","T","N.L.","436","450","-3.1","287","277","3.6","204","197","3.6","10.61","41.1","3,089","171"
"Witless Bay","T","N.L.","1,640","1,619","1.3","656","634","3.5","611","589","3.7","17.61","93.1","1,572","52"
"Baine Harbour","T","N.L.","126","124","1.6","69","61","13.1","59","52","13.5","4.15","30.4","4,144","303"
"Bay L'Argent","T","N.L.","234","241","-2.9","134","132","1.5","115","109","5.5","3.74","62.6","3,732","250"
"Burin","T","N.L.","2,237","2,315","-3.4","1,155","1,145","0.9","1,008","989","1.9","34.49","64.9","1,286","33"
"Division No.  2, Subd. C","SNO","N.L.","538","566","-4.9","422","498","-15.3","250","252","-0.8","1,463.65","0.4","2,854","149"
"Division No.  2, Subd. D","SNO","N.L.","204","226","-9.7","116","119","-2.5","92","95","-3.2","33.17","6.2","3,859","262"
"Division No.  2, Subd. E","SNO","N.L.","251","246","2.0","308","296","4.1","119","107","11.2","136.58","1.8","3,678","242"
"Division No.  2, Subd. F","SNO","N.L.","99","117","-15.4","92","153","-39.9","42","47","-10.6","198.89","0.5","4,260","323"
"Division No.  2, Subd. G","SNO","N.L.","25","10","150.0","113","113","0.0","11","5","120.0","366.98","0.1","4,629","362"
"Division No.  2, Subd. H","SNO","N.L.","196","178","10.1","381","365","4.4","108","88","22.7","269.35","0.7","3,875","265"
"Division No.  2, Subd. I","SNO","N.L.","123","136","-9.6","150","107","40.2","60","59","1.7","491.98","0.3","4,161","305"
"Division No.  2, Subd. J","SNO","N.L.","0","0","...","0","0","...","0","0","...","267.48","0.0","4,831","366"
"Division No.  2, Subd. K","SNO","N.L.","502","558","-10.0","457","447","2.2","268","258","3.9","1,027.96","0.5","2,938","158"
"Division No.  2, Subd. L","SNO","N.L.","32","0","...","231","361","-36.0","15","0","...","873.62","0.0","4,588","360"
"English Harbour East","T","N.L.","117","139","-15.8","66","73","-9.6","48","57","-15.8","2.81","41.7","4,189","311"
"Fortune","T","N.L.","1,285","1,401","-8.3","767","782","-1.9","617","629","-1.9","54.77","23.5","1,823","64"
