transaction_id,date,customer_id,product,price,quantity,coupon_code,shipping_city,discount_percent,subtotal,discount_amount,final_amount,days_since_purchase,city,population_2021,land_area_km2,population_density_km2
1,2026-06-10,CUST5572,Smartwatch,367.57,2,NO_COUPON,London,0,735.14,0.0,735.14,102,London,"422,324",420.5,"1,004.3"
2,2026-06-10,CUST8096,Laptop,433.53,1,SAVE10,Waterloo,10,433.53,43.35,390.18,102,Waterloo,"121,436",64.06,"1,895.8"
3,2026-09-14,CUST6154,Tablet,1001.78,2,SAVE10,London,10,2003.56,200.36,1803.2,6,London,"422,324",420.5,"1,004.3"
4,2026-06-10,CUST5695,Smartphone,1029.17,4,SAVE30,Toronto,30,4116.68,1235.0,2881.68,102,Toronto,"2,794,356",631.1,"4,427.8"
5,2026-09-10,CUST8276,Mouse,21.44,5,NO_COUPON,London,0,107.2,0.0,107.2,10,London,"422,324",420.5,"1,004.3"
6,2026-08-28,CUST2737,Laptop,500.76,4,NO_COUPON,Ottawa,0,2003.04,0.0,2003.04,23,Ottawa,"1,017,449",2788.2,364.9
7,2025-10-01,CUST8323,Headphones,726.46,1,NO_COUPON,Waterloo,0,726.46,0.0,726.46,354,Waterloo,"121,436",64.06,"1,895.8"
8,2026-03-16,CUST6154,Keyboard,21.47,1,SAVE10,Kitchener,10,21.47,2.15,19.32,188,Kitchener,"256,885",136.81,"1,877.6"
9,2026-08-04,CUST9613,Headphones,812.15,2,SAVE20,Waterloo,20,1624.3,324.86,1299.44,47,Waterloo,"121,436",64.06,"1,895.8"
10,2026-03-07,CUST5249,Tablet,1312.26,2,SAVE30,Kitchener,30,2624.52,787.36,1837.16,197,Kitchener,"256,885",136.81,"1,877.6"
11,2025-11-10,CUST4214,Keyboard,1020.3354929577465,4,SAVE10,Ottawa,10,4081.34,408.13,3673.21,314,Ottawa,"1,017,449",2788.2,364.9
12,2026-04-27,CUST9368,Mouse,989.89,5,SAVE10,Ottawa,10,4949.45,494.94,4454.51,146,Ottawa,"1,017,449",2788.2,364.9
13,2025-10-23,CUST3915,Tablet,1948.6,1,SAVE30,Kitchener,30,1948.6,584.58,1364.02,332,Kitchener,"256,885",136.81,"1,877.6"
14,2026-06-16,CUST4063,Smartwatch,1228.64,4,SAVE20,Kitchener,20,4914.56,982.91,3931.65,96,Kitchener,"256,885",136.81,"1,877.6"
15,2026-05-04,CUST7496,Headphones,114.96,5,NO_COUPON,Waterloo,0,574.8,0.0,574.8,139,Waterloo,"121,436",64.06,"1,895.8"
16,2026-03-14,CUST6147,Headphones,1395.95,2,SAVE30,Toronto,30,2791.9,837.57,1954.33,190,Toronto,"2,794,356",631.1,"4,427.8"
