transaction_id,date,customer_id,product,price,quantity,coupon_code,shipping_city
1,2026-06-10,CUST5572,Smartwatch,367.57,2,,London
2,2026-06-10,CUST8096,Laptop,433.53,1,SAVE10,Waterloo
3,2026-09-14,CUST6154,Tablet,1001.78,2,SAVE10,London
4,2026-06-10,CUST5695,Smartphone,1029.17,4,SAVE30,Toronto
5,2026-09-10,CUST8276,Mouse,21.44,5,,London
6,2026-08-28,CUST2737,Laptop,500.76,4,,Ottawa
7,2025-10-01,CUST8323,Headphones,726.46,1,,Waterloo
8,2026-03-16,CUST6154,Keyboard,21.47,1,SAVE10,Kitchener
9,2026-08-04,CUST9613,Headphones,812.15,2,SAVE20,Waterloo
10,2026-03-07,CUST5249,Tablet,1312.26,2,SAVE30,Kitchener
11,2025-11-10,CUST4214,Keyboard,,4,SAVE10,Ottawa
12,2026-04-27,CUST9368,Mouse,989.89,5,SAVE10,Ottawa
13,2025-10-23,CUST3915,Tablet,1948.6,1,SAVE30,Kitchener
14,2026-06-16,CUST4063,Smartwatch,1228.64,4,SAVE20,Kitchener
15,2026-05-04,CUST7496,Headphones,114.96,5,,Waterloo
16,2026-03-14,CUST6147,Headphones,1395.95,2,SAVE30, toronto 
17,2026-06-30,CUST8991,Smartphone,1708.31,1,SAVE30,London
18,2025-11-21,CUST9750,Laptop,1980.67,2,SAVE20,Ottawa
19,2026-03-14,CUST9880,Keyboard,1430.02,5,SAVE10,Waterloo
20,2026-08-05,CUST2186,Monitor,711.63,2,,Waterloo
21,2026-08-02,CUST7076,,1854.62,3,SAVE10,Toronto
22,2026-01-20,CUST6703,Mouse,1567.03,3,SAVE10,Toronto
23,2026-09-01,CUST1216,Smartphone,1935.41,5,SAVE20,Ottawa
24,2026-08-21,CUST1880,Smartwatch,1062.78,1,SAVE20,Waterloo
25,2026-07-06,CUST3591,Laptop,231.81,3,SAVE30,Ottawa
26,2025-12-24,CUST1547,Smartwatch,,2,SAVE10,Waterloo
27,2026-08-09,CUST6720,Laptop,1394.96,2,SAVE10,Ottawa
28,2026-03-11,CUST5165,Monitor,1139.5,4,SAVE20,Ottawa
29,2026-03-03,CUST8110,Tablet,1450.93,1,SAVE10,London
30,2025-12-16,CUST3566,Tablet,583.07,4,,London
31,2025-12-25,CUST2271,Tablet,637.84,4,SAVE10,WATERLOO
32,2026-03-28,CUST6517,Mouse,257.9,1,,London
